epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2168.16,0.93186,0.49989,0.82276,0.95875,0.92266,0.96318,0.71415,0.80988,0.41458,0.80551,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2236.16,0.93199,0.49846,0.82244,0.95524,0.92253,0.96158,0.71236,0.81652,0.41275,0.80707,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2303.99,0.9228,0.49225,0.82257,0.95472,0.9275,0.96507,0.71968,0.80592,0.40746,0.8045,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2372.06,0.92168,0.48957,0.81962,0.95451,0.91715,0.96231,0.71401,0.80916,0.40561,0.80454,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2439.7,0.9128,0.48511,0.82023,0.96389,0.9192,0.96352,0.72063,0.79163,0.39702,0.80218,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2507.49,0.9153,0.48647,0.81974,0.96574,0.9231,0.96325,0.72168,0.79107,0.39786,0.80244,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2575.41,0.89977,0.47687,0.81829,0.96498,0.92039,0.96476,0.72018,0.78416,0.39232,0.8008,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2643.04,0.90347,0.47821,0.81796,0.96279,0.92999,0.96823,0.72543,0.78192,0.38759,0.80138,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2711.06,0.89789,0.47426,0.81788,0.95968,0.92734,0.96672,0.72599,0.77932,0.38754,0.80044,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2778.92,0.89551,0.47324,0.81643,0.95823,0.93623,0.97007,0.73017,0.77558,0.38635,0.80084,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2846.77,0.89663,0.46931,0.81625,0.96007,0.93804,0.96877,0.7298,0.77084,0.38673,0.80002,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2914.4,0.88659,0.46429,0.81794,0.96152,0.93375,0.96549,0.73224,0.77166,0.38443,0.80018,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2982.48,0.88396,0.46489,0.81494,0.95426,0.94159,0.9696,0.73286,0.76556,0.3788,0.79983,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3050.39,0.87313,0.45708,0.81293,0.95631,0.94478,0.97257,0.73594,0.7616,0.37603,0.79878,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3118.5,0.87057,0.45478,0.81525,0.95888,0.94352,0.97243,0.73428,0.76071,0.3737,0.79886,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
