epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,79.8509,1.94169,4.84581,0.0028,0.70916,0.62216,0.67885,0.35552,1.67501,1.9903,0.00372,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884,0.00995652,0.00331884
2,160.892,1.7288,1.57559,0.00232,0.75942,0.67993,0.76247,0.44494,1.49764,1.10354,0.00329,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632,0.019759,0.00658632
3,245.157,1.73576,1.133,0.00235,0.80192,0.70295,0.77336,0.42033,1.73686,1.11942,0.00395,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779,0.0293634,0.00978779
4,327.537,1.74692,1.07941,0.00238,0.78093,0.71452,0.77341,0.42867,1.67132,1.38656,0.00369,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,409.021,1.65591,0.9531,0.00223,0.84235,0.7587,0.83499,0.50142,1.50184,0.81615,0.00339,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,489.724,1.59632,0.88512,0.0021,0.88153,0.78506,0.8665,0.55553,1.34584,0.73622,0.00291,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,570.573,1.55446,0.83378,0.00204,0.89115,0.82399,0.89788,0.58161,1.29557,0.64351,0.0028,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,656.892,1.51705,0.78444,0.00196,0.88962,0.8234,0.8995,0.59366,1.26989,0.61242,0.00273,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,740.04,1.48805,0.76461,0.00191,0.87524,0.82704,0.89083,0.58283,1.28022,0.61512,0.00272,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,820.992,1.45092,0.7302,0.00187,0.90151,0.83478,0.90752,0.61107,1.23459,0.57498,0.00262,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,901.646,1.43917,0.70987,0.00186,0.91488,0.84938,0.92215,0.61145,1.26138,0.54645,0.00288,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,986.02,1.41541,0.69066,0.00179,0.92565,0.86911,0.92656,0.6442,1.15755,0.4994,0.00244,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1069.26,1.40492,0.68964,0.00177,0.92919,0.85476,0.93428,0.64172,1.16535,0.49869,0.00246,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1151.28,1.39625,0.66271,0.00175,0.9265,0.87286,0.93644,0.64328,1.17341,0.50296,0.00243,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1231.84,1.38367,0.65354,0.00174,0.91721,0.8751,0.93484,0.65146,1.13821,0.47634,0.0024,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1312.47,1.36851,0.63657,0.00172,0.91725,0.88186,0.93964,0.66515,1.107,0.46085,0.00239,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1392.2,1.35259,0.61918,0.00169,0.91911,0.8882,0.94262,0.66343,1.1192,0.45664,0.00233,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1472.43,1.33635,0.61026,0.00166,0.92072,0.89219,0.94194,0.6654,1.11957,0.45608,0.00244,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1553.22,1.33052,0.60212,0.00165,0.92692,0.8985,0.95164,0.67776,1.07852,0.43999,0.00227,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1633.91,1.3269,0.59583,0.00164,0.93541,0.87953,0.94736,0.67994,1.07046,0.43206,0.00223,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1715,1.32671,0.58163,0.00165,0.94931,0.88167,0.9508,0.68298,1.0707,0.41711,0.00227,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1795.65,1.30356,0.57434,0.00162,0.92857,0.90555,0.95327,0.69337,1.02947,0.41496,0.00213,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1876.19,1.30693,0.58233,0.0016,0.93452,0.90107,0.95541,0.70327,1.01113,0.40647,0.0021,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1956.07,1.29137,0.5581,0.00159,0.92649,0.91116,0.96003,0.69553,1.03861,0.40917,0.00216,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
