epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,1947.25,0.92815,0.4883,0.82466,0.95185,0.92593,0.9626,0.71265,0.80902,0.40864,0.80673,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2007.8,0.92752,0.4862,0.82425,0.96068,0.92519,0.96282,0.7089,0.81815,0.401,0.80833,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2068.29,0.91659,0.47922,0.82306,0.9533,0.93869,0.9629,0.71395,0.81382,0.40303,0.80743,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2128.95,0.91461,0.47608,0.82022,0.95843,0.92869,0.96291,0.71687,0.80255,0.39573,0.80621,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2189.88,0.90754,0.4749,0.82134,0.94679,0.93521,0.96181,0.7193,0.7972,0.39581,0.806,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,2250.76,0.90671,0.47443,0.82111,0.95496,0.93517,0.96565,0.72372,0.79081,0.39104,0.80541,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,2311.38,0.90032,0.46778,0.81996,0.94912,0.94042,0.96617,0.7252,0.78974,0.39127,0.80504,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,2372.21,0.89898,0.46641,0.81927,0.95309,0.93767,0.96273,0.72443,0.78726,0.38402,0.80443,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,2433.52,0.89192,0.46197,0.81931,0.9568,0.93133,0.96575,0.72447,0.77766,0.38132,0.80372,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2495.42,0.89301,0.46158,0.81886,0.95452,0.94282,0.96862,0.73019,0.77431,0.37806,0.80402,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2557.04,0.89067,0.45777,0.8171,0.95842,0.93765,0.96576,0.72797,0.77503,0.37938,0.8029,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2618.75,0.8833,0.45363,0.81888,0.96035,0.93881,0.96816,0.73321,0.76894,0.37528,0.80189,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2680.59,0.87787,0.45191,0.81601,0.96308,0.93093,0.96705,0.72899,0.76928,0.37368,0.80221,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2742.09,0.87449,0.44856,0.81534,0.96697,0.9294,0.9671,0.73163,0.76357,0.37163,0.8013,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2803.4,0.86976,0.44485,0.81782,0.96166,0.93623,0.97023,0.73341,0.76313,0.37057,0.80104,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2864.97,0.86833,0.44476,0.8161,0.96218,0.93698,0.97052,0.73519,0.76238,0.3694,0.80088,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2926.72,0.85944,0.442,0.81553,0.96758,0.93603,0.97139,0.73958,0.75654,0.36401,0.80078,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2988.44,0.85683,0.43708,0.81364,0.96848,0.93744,0.972,0.73904,0.75858,0.36238,0.801,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,3049.72,0.8556,0.4357,0.81235,0.97519,0.93491,0.97341,0.73894,0.75855,0.3609,0.80079,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,3110.92,0.84734,0.4317,0.81269,0.96782,0.93769,0.97105,0.73928,0.7562,0.36085,0.80064,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,3171.09,0.84501,0.43108,0.81246,0.96324,0.94394,0.97067,0.73833,0.75714,0.36087,0.80071,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,3231.39,0.84544,0.42763,0.81117,0.96625,0.94509,0.97094,0.73841,0.7566,0.3591,0.80057,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,3291.83,0.84987,0.42905,0.81392,0.96268,0.94945,0.97229,0.73996,0.75596,0.35901,0.80027,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,3352.36,0.83711,0.42617,0.8119,0.96711,0.94614,0.97175,0.73922,0.75399,0.35798,0.80005,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,3419.34,0.84197,0.42465,0.81315,0.96253,0.94722,0.97258,0.74229,0.75191,0.3584,0.79982,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,3480.96,0.83604,0.41746,0.81063,0.9638,0.94696,0.97182,0.74321,0.75076,0.35486,0.79953,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3542.93,0.83069,0.41964,0.80954,0.96573,0.94793,0.97221,0.74288,0.75157,0.35443,0.79952,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3604.44,0.82656,0.41269,0.81023,0.96497,0.94856,0.97198,0.74496,0.74778,0.35374,0.79924,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3665.23,0.82562,0.41423,0.80951,0.96651,0.94799,0.97246,0.74461,0.74565,0.3524,0.79898,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3725.46,0.82497,0.41136,0.81089,0.96549,0.94967,0.97257,0.74482,0.74375,0.35219,0.79881,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3785.74,0.82145,0.41145,0.80934,0.96553,0.95035,0.97258,0.74745,0.74217,0.35138,0.7987,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3846.44,0.81029,0.40553,0.80723,0.96433,0.94902,0.97246,0.74602,0.74026,0.35017,0.79845,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3906.93,0.81787,0.40771,0.80846,0.96488,0.95061,0.97416,0.74658,0.74022,0.34943,0.79831,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3967.21,0.80725,0.40357,0.80736,0.96557,0.94926,0.9728,0.7463,0.74023,0.34889,0.79843,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4027.29,0.8049,0.40024,0.80678,0.96654,0.94839,0.97303,0.74693,0.73977,0.3482,0.79827,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4087.73,0.8091,0.40183,0.80704,0.96738,0.94798,0.97317,0.74716,0.73838,0.34751,0.79823,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4148.15,0.80108,0.39623,0.80692,0.96577,0.94896,0.97325,0.74722,0.7378,0.34701,0.79818,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4208.51,0.79837,0.39606,0.80567,0.96468,0.94957,0.97337,0.74804,0.73659,0.34591,0.79785,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4269.14,0.79719,0.39415,0.80605,0.96527,0.95127,0.97343,0.74836,0.73641,0.34543,0.79783,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4330.13,0.79428,0.39359,0.80649,0.96553,0.95133,0.97347,0.74815,0.73631,0.34514,0.79768,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4391.82,0.79486,0.39278,0.80481,0.96539,0.95107,0.97332,0.74838,0.73628,0.34429,0.79766,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4453.77,0.78496,0.38623,0.80541,0.96652,0.95061,0.9733,0.74834,0.7353,0.34355,0.79759,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4515.35,0.78162,0.38393,0.80464,0.96709,0.95094,0.97335,0.74911,0.73491,0.34294,0.7975,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4577.26,0.78127,0.38312,0.80559,0.96735,0.95159,0.97334,0.74822,0.73447,0.34226,0.79744,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4638.62,0.77777,0.38119,0.80457,0.96737,0.95153,0.97339,0.74874,0.73411,0.34196,0.79732,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4700.24,0.77276,0.37854,0.80279,0.96679,0.9512,0.97351,0.74881,0.73421,0.34145,0.79735,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4761.9,0.77016,0.37898,0.80253,0.96789,0.95207,0.97352,0.74867,0.73362,0.34051,0.7973,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4823.09,0.76786,0.3774,0.80255,0.96839,0.95149,0.97353,0.74881,0.73282,0.34071,0.79725,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4884.22,0.76442,0.37368,0.8018,0.96884,0.95081,0.97344,0.74976,0.73199,0.34001,0.79717,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,4944.74,0.76368,0.37309,0.80255,0.96731,0.95194,0.97354,0.75026,0.73209,0.33997,0.79715,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5005.2,0.75931,0.36953,0.80057,0.96696,0.95252,0.97339,0.75032,0.73183,0.33921,0.79712,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5070.97,0.75278,0.36683,0.80077,0.96712,0.95242,0.97345,0.75097,0.73129,0.33927,0.79707,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5132.84,0.75209,0.36724,0.80015,0.96656,0.95398,0.97342,0.75031,0.73126,0.33906,0.79706,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
